time,f0,VUV,NAQ,QOQ,H1H2,PSP,HRF,MDQ,peakSlope,Rd,Rd_conf,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12,vowelSpace,F1,F2,F3,F4,F5,VAD
0.005,0,0,0,0,0,0,0,0,0,0,0,-16.8643581868663,0.118559978599777,0.136672777685825,0.164122060243971,0.137277509095568,0.138637907056378,0.127485219474059,0.138596019022641,0.034741548882259,-0.0291257464955208,0.00763327984429405,-0.0856619209621747,-0.0563257937263029,-0.0496153939079834,-0.0288280249757809,0.0338083706025764,-0.0134197588250199,0.00755686223473821,0.0322157889552932,0.0764596122622632,0.0490374733990606,-0.0606016382336017,0.0055554685879367,-0.0799756231366043,0.0286689732455838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.579053589561,1299.48766058894,2419.94610140202,3742.82962593894,4875.49460446401,0
0.015,0,0,0,0,0,0,0,0,0,0,0,-16.6849952218498,0.152714172052055,0.145167685718028,0.174482040731231,0.162825101896806,0.162554238614795,0.150075441453094,0.163916225199345,0.0511468870456318,-0.0281833681085235,0.0130809716429741,-0.112466508439163,-0.0667552590859606,-0.060917327390393,-0.0384628199237191,0.0408762588124755,0.00166741510088732,0.0186894481614729,0.0310049384105915,0.0931426606899039,0.0647104780311272,-0.0868460001270928,0.00605349032366709,-0.0914480619252722,0.0409328287612267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0,-0.0296802220220622,0,0,-16.657913116257,0.16428449115477,0.148484716247448,0.128612391212364,0.171335064522592,0.118165775512563,0.0725882703550886,0.0523803057561371,0.0702854720460153,0.0743619803644656,0.0631816971859422,-0.0528736707419055,-0.00179210878718382,-0.000400472676128857,-0.0221506060626159,0.0175014910571538,0.0614443722459202,0.030855036740088,-0.0175557009760371,0.0536645922227131,0.0169116280334515,-0.101022762944198,0.0319548773739663,-0.015860389885753,0.0581743285837103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035,0,0,0,0,0,0,0,0,-1.53624292957593e-16,0,0,-16.5008351038672,0.154626263959255,0.160967257572468,0.0904156087107791,0.157885656189009,0.0717559703788894,-0.0120350503464682,-0.0684652673097799,0.0713257160734788,0.195037271920215,0.103644645132006,0.0412060213623955,0.07850242413848,0.0748474840438779,0.0119149656372313,-0.00158468783235726,0.120266429778523,0.0414814573060249,-0.0626688504421832,-0.00972896785623447,-0.0363816198891038,-0.105443196208721,0.0554820050689863,0.0498198139779102,0.0440499526490431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864.89637795872,2617.18427442497,3687.29572330455,4439.58361977081,5753.82695812862,0
0.045,0,0,0,0,0,0,0,0,-0.0299458390979795,0,0,-17.4245585427364,0.236836595592972,0.180667676914192,0.003579444179026,0.14498247071629,0.08197118858646,-0.115130023986547,-0.0122233939898391,0.0306606791648509,0.18177618657298,0.00954205165783442,0.0605421620622385,0.0820250687357691,0.0520903308092412,0.00582716502144598,0.0276439958728685,0.0605436499642357,0.00973075434539927,-0.0439852179056814,-0.00019620456107072,-0.052485891726333,-0.0508501470283028,0.0571405202651118,-0.00290714454487894,0.0292308887749099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4104.36715502942,5789,8115.17330676034,9789.27023089488,12809.0923831808,0
0.055,50,0,0,0,0,0,0,0,-0.0598916781959589,1.53407350594079,0.808278518262891,-18.0599850679653,0.402346119706814,0.227935244631975,-0.0603540446441027,0.0770061981841186,0.118091719904653,-0.124462965089564,0.0852127391546066,-0.0538675371720943,0.100337779023956,-0.0913491024547951,-0.0157140292961202,0.0172935560643556,0.023359813518873,-0.0387221442673995,0.024018742774568,0.0084242418266856,0.0198796214812553,0.01490959251347,0.000930375250004258,-0.0488645265316156,0.0599847381800793,0.0231402461600817,-0.0825283003313768,0.0596096915734576,0,0,0.801640225230387,0.907895920509663,0.897113303500828,0.912724545883803,0.8851546747776,0.888687899197417,0.872756791833104,0.299265381487236,0.661600924308579,0.863465910344847,1.1023988700929,0.824395115177201,0.759415160594027,1.07296143680499,1.01372218163894,0.960891058117224,0.831863240755151,1.17008645652306,0.884025651584388,0.821988057524621,0.976363249585091,0.891787811810582,0.891417639744893,-7.4350577499149,0.0956479311173003,0.0835697432167367,-0.0122640889084556,0.181183867473315,0.0452057122222956,0.310128908394127,0.270368083619717,-0.369001102124448,0.000797915070599631,0.280011599931366,0.192787628485118,-0.384599471755808,0,3788.38982826365,5849.05152090415,8322.37146262858,9670.3572027725,12904.2043618383,0
0.065,50,0,0,0,0,0,0,0,-0.0619821057256761,1.00716062940151,0.836422770836127,-15.5043739595333,0.328071479432697,0.269373549106178,0.158807341083272,-0.0474372872427953,0.181423864425912,0.121744901799979,0.0138195055002801,-0.0339023352192287,0.122162313203389,0.0510426823028779,-0.106991843675181,-0.0431200695251458,0.0441166880259456,-0.0665314866031649,-0.0922645918690283,0.112887421742854,0.0847783428566874,0.00409418195688057,-0.0886752962113178,0.0235065544357953,0.104103610709697,-0.00974678089614537,-0.0488943492785989,0.0196084070883712,0,0,0.772642102177023,0.877729119206632,0.869021621419732,0.887026648658531,0.860619599076316,0.867189771341289,0.856114755619217,0.289794860025022,0.655136113968743,0.85636718224083,1.08462249228858,0.822719235698024,0.756062394570143,1.05434321884945,1.00362803510204,0.95558994675156,0.829652847892823,1.16485347605144,0.872834117878559,0.813642710990806,0.970345380494214,0.88355461776373,0.881873326805361,-0.37270133654993,-0.282047128299227,-0.259574227308375,-0.284861526670552,-0.254825623824629,-0.273880671220687,-0.268397668005246,-0.250533505368954,-0.259666921918638,-0.246852776267463,-0.236634928030425,-0.246912373172492,-0.228365894791114,0,3398,4904.19716568805,7530.20094981616,9204.69140435301,11517.2085180724,0
0.075,50,0,0,0,0,0,0,0,-0.0656737848817814,1.96958812991183,0.725999812864838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737858312460652,0.841264414174535,0.833966621687248,0.854056948988714,0.829265423675003,0.838160452865361,0.835279810916656,0.27630867538962,0.645572871974797,0.84482027167607,1.06243179569767,0.817564549940782,0.748602916310386,1.03045599648783,0.989241560646038,0.946114762620104,0.824675032403262,1.15584253421248,0.857475318787129,0.801499293375223,0.959720994094254,0.870536801528773,0.867614327882746,-0.0899286800396102,-0.306101289741709,-0.276051568101496,-0.301153370300817,-0.265917662858734,-0.284886977415391,-0.277845605710986,-0.252000794843546,-0.26863689765686,-0.254360852800547,-0.242401479518041,-0.252809097872592,-0.238012146533319,0,3416.785830963,4447.44391606804,7020.7592033149,9041.93832501876,10967.9403369135,0
0.085,50,0,0,0,0,0,0,0,-0.0883472325968911,2.02427478823077,0.508368500562963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700029501734005,0.800103397620817,0.794858287868687,0.814899204405469,0.79163204462988,0.804428031155329,0.81315363313937,0.259991804556631,0.634417825406903,0.832542274765366,1.03921008190887,0.811940269300212,0.73798143944013,1.00445069824646,0.972817609774637,0.934664494531273,0.819359013331262,1.1463402179162,0.840461904275503,0.787755208998991,0.946828588393011,0.855019145484377,0.851071132043744,0.0799651334972044,-0.337427065428047,-0.300575619628505,-0.323122638228762,-0.281749328857629,-0.300243480388493,-0.288397876727087,-0.253342021916181,-0.278087820297328,-0.262170065686114,-0.243953391666057,-0.255836851759673,-0.246518684756307,0,3245.9014423835,4983.40935436468,7634.94515536999,8240.05773948801,13078,0
0.095,131,0,0,0,0,0,0,0,-0.109415138780095,1.2190650761552,0.372475454383355,-16.3697556758803,0.00808091501863994,0.0122342267301159,0.018259175303429,0.0260451815071308,0.0309468177185327,0.0272920381723871,0.0100521349703473,-0.0131492591616624,-0.0265638860096118,-0.0153984228044374,0.0117322469920998,0.0238924815146253,0.00506095567312196,-0.0147676684718555,-0.00373733221743503,0.0186275268366125,0.00695293982035949,-0.0173037050450833,-0.00448271869689081,0.0201956422705473,0.00313466987704714,-0.0142108351300965,0.0072293361789814,0.011428603428064,0,0,0.661641447869337,0.75484827217723,0.75024459850906,0.76941726669213,0.748849335977437,0.767345988100325,0.792204103993443,0.240653024313064,0.62078051265645,0.818530006188028,1.01383705233327,0.806083029277279,0.725772876360169,0.977738682267274,0.955055236265042,0.921108634177845,0.813741166087165,1.13701674270077,0.822142225031168,0.772802246810357,0.931874349121393,0.837497248479783,0.833699067773356,0.176183115519996,-0.362881842432117,-0.327837677704128,-0.351049417504523,-0.306788252766849,-0.318828493189528,-0.300577174261842,-0.259951590864253,-0.288801657181612,-0.269779018306267,-0.245094509915074,-0.254491854968614,-0.254363864889709,0,2930,4451.95532836772,6592.05807375266,7769.08541407822,13113.1089765826,0
